experiment,n_runs,val_mean,val_std,val_sem,test_mean,test_std,test_sem,delta_val,delta_test
Full Model (Baseline),5,85.4912,0.6547,0.2928,89.5,1.7678,0.7906,0,0
-CA (No Channel Attention),5,83.7719,0.9944,0.4447,84.7,2.7523,1.2309,-1.7193,-4.8
-SA (No Spatial Attention),5,84.9123,1.1588,0.5182,86.6,2.4597,1.1,-0.5789,-2.9
-FA (No Fusion Attention),5,85.386,0.7536,0.337,85.7,2.6599,1.1895,-0.1052,-3.8
-Skip (No Skip Classifier),5,85.0526,0.4412,0.1973,85.8,0.8367,0.3742,-0.4386,-3.7
-Residual (No Skip Connections),5,81.6316,1.5918,0.7119,85.6,3.07,1.373,-3.8596,-3.9
-CA-SA (No Attention),5,84.4737,0.7313,0.327,85.2,1.8908,0.8456,-1.0175,-4.3
Activation: GELU,5,84.2456,1.0316,0.4613,85.5,1.3693,0.6124,-1.2456,-4.0
Activation: ELU,5,84.5614,0.875,0.3913,84.5,3.5532,1.589,-0.9298,-5.0
Activation: SiLU,5,84.2807,0.7218,0.3228,85.4,2.485,1.1113,-1.2105,-4.1
