experiment,seed,gpu_id,val_mean,val_std,val_sem,test_acc,status,error,elapsed_minutes,model_kwargs
-CA (No Channel Attention),1337,6,84.12280701754386,3.417114242242535,1.366845696897014,85.5,success,,42.719903242588046,{'use_channel_attention': False}
-CA (No Channel Attention),2024,7,82.10526315789474,2.4694189930279373,0.9877675972111748,85.0,success,,42.94900846481323,{'use_channel_attention': False}
-CA (No Channel Attention),42,5,83.68421052631578,3.5279083424895106,1.411163336995804,81.0,success,,43.75027162631353,{'use_channel_attention': False}
Full Model (Baseline),1337,1,84.82456140350878,3.048166728753346,1.2192666915013384,86.5,success,,47.61979743242264,{}
Full Model (Baseline),7777,3,85.43859649122807,1.818986083625241,0.7275944334500963,84.5,success,,47.68975730339686,{}
Full Model (Baseline),2024,2,83.85964912280701,2.1352037622172064,0.8540815048868825,88.0,success,,47.775786523024244,{}
Full Model (Baseline),9999,4,84.3859649122807,2.968232336085729,1.1872929344342917,88.5,success,,47.81758726835251,{}
Full Model (Baseline),42,0,83.94736842105263,2.9682323360857246,1.18729293443429,85.0,success,,48.47353714307149,{}
-CA (No Channel Attention),7777,6,84.29824561403508,1.434686599455802,0.5738746397823208,83.5,success,,43.09347946246465,{'use_channel_attention': False}
-CA (No Channel Attention),9999,7,84.64912280701755,0.9304036594559849,0.37216146378239395,88.5,success,,43.298694642384845,{'use_channel_attention': False}
-SA (No Spatial Attention),42,5,85.7017543859649,2.414273499039102,0.9657093996156407,82.5,success,,47.68283612728119,{'use_spatial_attention': False}
-SA (No Spatial Attention),7777,2,86.49122807017544,2.266317663642776,0.9065270654571103,86.5,success,,47.08954468568166,{'use_spatial_attention': False}
-SA (No Spatial Attention),2024,3,83.68421052631578,1.5002308224988663,0.6000923289995465,88.5,success,,47.210671154658,{'use_spatial_attention': False}
-SA (No Spatial Attention),1337,1,84.12280701754386,2.8993848914102487,1.1597539565640995,87.0,success,,47.434869627157845,{'use_spatial_attention': False}
-SA (No Spatial Attention),9999,4,84.56140350877193,3.1839809496283387,1.2735923798513356,88.5,success,,47.75661791960398,{'use_spatial_attention': False}
-FA (No Fusion Attention),42,0,84.3859649122807,1.65856757905167,0.663427031620668,81.5,success,,48.23612264792124,{'use_fusion_attention': False}
-FA (No Fusion Attention),2024,7,85.52631578947368,2.148675212967703,0.8594700851870811,87.0,success,,48.01003032922745,{'use_fusion_attention': False}
-FA (No Fusion Attention),1337,6,84.91228070175438,2.660658050544405,1.064263220217762,86.5,success,,48.856801291306816,{'use_fusion_attention': False}
-FA (No Fusion Attention),7777,5,85.78947368421052,1.9761193554506693,0.7904477421802676,85.0,success,,48.43753326336543,{'use_fusion_attention': False}
-FA (No Fusion Attention),9999,2,86.3157894736842,2.6570405668177117,1.0628162267270846,88.5,success,,48.04744865099589,{'use_fusion_attention': False}
-Skip (No Skip Classifier),42,3,84.64912280701755,2.0336882665560796,0.8134753066224317,86.0,success,,49.24866189559301,{'use_skip_classifier': False}
-Skip (No Skip Classifier),1337,1,85.6140350877193,3.060762512696122,1.2243050050784487,85.5,success,,49.443092874685924,{'use_skip_classifier': False}
-Skip (No Skip Classifier),2024,4,84.73684210526316,2.1576094519734803,0.863043780789392,86.5,success,,49.33731286525726,{'use_skip_classifier': False}
-Skip (No Skip Classifier),7777,0,85.43859649122808,2.266317663642777,0.9065270654571107,84.5,success,,49.12493574619293,{'use_skip_classifier': False}
-Residual (No Skip Connections),42,6,82.71929824561404,3.59809549157784,1.4392381966311358,83.0,success,,47.53788335323334,{'use_residual_connections': False}
-Skip (No Skip Classifier),9999,7,84.82456140350877,2.8186436865016904,1.1274574746006762,86.5,success,,49.275393879413606,{'use_skip_classifier': False}
-Residual (No Skip Connections),1337,5,80.6140350877193,2.8322604019233273,1.1329041607693309,87.0,success,,46.354504632949826,{'use_residual_connections': False}
-CA-SA (No Attention),42,4,84.12280701754386,2.9159245857183627,1.166369834287345,83.5,success,,42.06994258960088,"{'use_channel_attention': False, 'use_spatial_attention': False}"
-CA-SA (No Attention),1337,0,85.26315789473684,3.7805898139491156,1.5122359255796463,85.0,success,,41.95946255127589,"{'use_channel_attention': False, 'use_spatial_attention': False}"
-Residual (No Skip Connections),2024,2,80.87719298245614,2.3740997548639187,0.9496399019455674,86.5,success,,46.31827373504639,{'use_residual_connections': False}
-Residual (No Skip Connections),7777,3,83.85964912280701,2.8660191671411486,1.1464076668564593,82.0,success,,46.89303506612778,{'use_residual_connections': False}
-Residual (No Skip Connections),9999,1,80.08771929824562,1.8762499680883709,0.7504999872353484,89.5,success,,46.911183603604634,{'use_residual_connections': False}
-CA-SA (No Attention),2024,6,83.94736842105263,3.171874514344656,1.2687498057378621,88.0,success,,42.53888136943181,"{'use_channel_attention': False, 'use_spatial_attention': False}"
-CA-SA (No Attention),7777,7,85.26315789473685,2.2492774394663275,0.899710975786531,83.5,success,,42.46231660048167,"{'use_channel_attention': False, 'use_spatial_attention': False}"
-CA-SA (No Attention),9999,5,83.7719298245614,1.1182060336826307,0.4472824134730523,86.0,success,,42.48965842723847,"{'use_channel_attention': False, 'use_spatial_attention': False}"
Activation: ReLU,42,4,83.7719298245614,2.97470613294968,1.189882453179872,83.5,success,,47.8417965332667,{'activation': 'relu'}
Activation: ReLU,1337,0,83.59649122807016,3.246799214617849,1.2987196858471395,84.0,success,,47.82152562538783,{'activation': 'relu'}
Activation: ReLU,2024,2,82.80701754385964,1.818986083625241,0.7275944334500962,88.0,success,,47.94960416952769,{'activation': 'relu'}
Activation: ReLU,7777,3,85.08771929824562,2.341464528954237,0.9365858115816946,85.5,success,,47.775896954536435,{'activation': 'relu'}
Activation: ReLU,9999,1,83.24561403508771,3.0291748508477196,1.2116699403390878,88.5,success,,48.5375351190567,{'activation': 'relu'}
Activation: GELU,42,6,83.59649122807016,3.305516435336278,1.322206574134511,86.0,success,,47.71313804388046,{'activation': 'gelu'}
