experiment,n_runs,val_mean,val_std,val_sem,test_mean,test_std,test_sem,delta_val,delta_test
Full Model (Baseline),5,84.4912,0.6547,0.2928,86.5000,1.7678,0.7906,0.0000,0.0000
-CA (No Channel Attention),5,83.7719,0.9944,0.4447,84.7000,2.7523,1.2309,-0.7193,-1.8000
-SA (No Spatial Attention),5,84.9123,1.1588,0.5182,86.6000,2.4597,1.1000,0.4211,0.1000
-FA (No Fusion Attention),5,85.3860,0.7536,0.3370,85.7000,2.6599,1.1895,0.8947,-0.8000
-Skip (No Skip Classifier),5,85.0526,0.4412,0.1973,85.8000,0.8367,0.3742,0.5614,-0.7000
-Residual (No Skip Connections),5,81.6316,1.5918,0.7119,85.6000,3.0700,1.3730,-2.8596,-0.9000
-CA-SA (No Attention),5,84.4737,0.7313,0.3270,85.2000,1.8908,0.8456,-0.0175,-1.3000
Activation: ReLU,5,83.7018,0.8581,0.3838,85.9000,2.2749,1.0173,-0.7895,-0.6000
Activation: GELU,5,84.2456,1.0316,0.4613,85.5000,1.3693,0.6124,-0.2456,-1.0000
Activation: ELU,5,84.5614,0.8750,0.3913,84.5000,3.5532,1.5890,0.0702,-2.0000
Activation: SiLU,5,84.2807,0.7218,0.3228,85.4000,2.4850,1.1113,-0.2105,-1.1000
